"Year","Region","Mean_EVI"
2008,"Middle Delta",0.276699191874937
2008,"West of Crawleys Ridge",0.305959659368334
2008,"Grand Prairie",0.318919046642737
2008,"North Delta",0.293671328541462
2008,"South Delta",0.308971429094194
2008,"White River",0.284778198457435
2009,"Middle Delta",0.262438475366608
2009,"West of Crawleys Ridge",0.290224557174918
2009,"Grand Prairie",0.302303689705177
2009,"North Delta",0.272860112467001
2009,"South Delta",0.287888999991437
2009,"White River",0.274700408299144
2010,"Middle Delta",0.240470673427378
2010,"West of Crawleys Ridge",0.272851803803675
2010,"Grand Prairie",0.284552240084227
2010,"North Delta",0.258684805648312
2010,"South Delta",0.273556291413835
2010,"White River",0.266655035894085
2011,"Middle Delta",0.258523570889305
2011,"West of Crawleys Ridge",0.285223111546753
2011,"Grand Prairie",0.297954266592973
2011,"North Delta",0.265100484558056
2011,"South Delta",0.282229316594185
2011,"White River",0.259526664085466
2012,"Middle Delta",0.291166717670088
2012,"West of Crawleys Ridge",0.305108728876168
2012,"Grand Prairie",0.328126802831007
2012,"North Delta",0.289492466467736
2012,"South Delta",0.293474457832972
2012,"White River",0.292534717473336
2013,"Middle Delta",0.270972793700039
2013,"West of Crawleys Ridge",0.296415512609685
2013,"Grand Prairie",0.304397695706668
2013,"North Delta",0.282388734669658
2013,"South Delta",0.272686543961814
2013,"White River",0.276634227403258
2014,"Middle Delta",0.273874361812499
2014,"West of Crawleys Ridge",0.279324361925588
2014,"Grand Prairie",0.301337205698495
2014,"North Delta",0.274414313722172
2014,"South Delta",0.282976622296629
2014,"White River",0.275499171326947
2015,"Middle Delta",0.247634364038606
2015,"West of Crawleys Ridge",0.277651084456092
2015,"Grand Prairie",0.279714192379933
2015,"North Delta",0.265151498336289
2015,"South Delta",0.262363399221365
2015,"White River",0.26615504595518
2016,"Middle Delta",0.271906901979342
2016,"West of Crawleys Ridge",0.281308462051491
2016,"Grand Prairie",0.297738461409786
2016,"North Delta",0.276128681617855
2016,"South Delta",0.283170706422792
2016,"White River",0.271946232275546
2017,"Middle Delta",0.294767837353436
2017,"West of Crawleys Ridge",0.294716932482493
2017,"Grand Prairie",0.307437191247964
2017,"North Delta",0.28213380276578
2017,"South Delta",0.285568127068578
2017,"White River",0.282854411099292
2018,"Middle Delta",0.266583584437631
2018,"West of Crawleys Ridge",0.285325782808477
2018,"Grand Prairie",0.296108506124997
2018,"North Delta",0.268202955247683
2018,"South Delta",0.291135444475348
2018,"White River",0.274925893418985
2019,"Middle Delta",0.253121136191474
2019,"West of Crawleys Ridge",0.275483784866331
2019,"Grand Prairie",0.283707716725511
2019,"North Delta",0.262541635477953
2019,"South Delta",0.267577368933284
2019,"White River",0.263154534164337
2020,"Middle Delta",0.275229426745097
2020,"West of Crawleys Ridge",0.292006357020843
2020,"Grand Prairie",0.305654439988176
2020,"North Delta",0.280045551856923
2020,"South Delta",0.294176250065245
2020,"White River",0.278459510603084
