"Year","Region","Mean_PAR"
2008,"Middle Delta",29.7887320644691
2008,"West of Crawleys Ridge",29.8246954887552
2008,"Grand Prairie",29.7941393667322
2008,"North Delta",29.8443416086942
2008,"South Delta",29.6254413854215
2008,"White River",29.5516112942335
2009,"Middle Delta",28.6236316120611
2009,"West of Crawleys Ridge",28.329610320112
2009,"Grand Prairie",28.4614129079135
2009,"North Delta",28.3244094259501
2009,"South Delta",29.0381398959792
2009,"White River",28.4478552487837
2010,"Middle Delta",31.7371802188119
2010,"West of Crawleys Ridge",32.1225175851246
2010,"Grand Prairie",32.0769145154612
2010,"North Delta",31.9926461770797
2010,"South Delta",31.6999351328731
2010,"White River",31.8563790721371
2011,"Middle Delta",30.7303879349866
2011,"West of Crawleys Ridge",30.109424201031
2011,"Grand Prairie",30.6360149371992
2011,"North Delta",29.8017709307163
2011,"South Delta",31.3921796823285
2011,"White River",29.9962717085182
2012,"Middle Delta",31.8430697425071
2012,"West of Crawleys Ridge",31.9205855687576
2012,"Grand Prairie",32.2378862414797
2012,"North Delta",31.5532369882826
2012,"South Delta",32.0870913122593
2012,"White River",31.9286766439638
2013,"Middle Delta",30.0544644905634
2013,"West of Crawleys Ridge",29.920697297358
2013,"Grand Prairie",30.2147394510762
2013,"North Delta",29.4538121299566
2013,"South Delta",30.3125761528051
2013,"White River",29.8808171908955
2014,"Middle Delta",30.639400784327
2014,"West of Crawleys Ridge",30.5280440796137
2014,"Grand Prairie",30.4682628723985
2014,"North Delta",30.3804675659766
2014,"South Delta",30.804260868876
2014,"White River",30.565669384993
2015,"Middle Delta",30.0197257252823
2015,"West of Crawleys Ridge",29.7075106958689
2015,"Grand Prairie",29.7122390280704
2015,"North Delta",29.6903968889745
2015,"South Delta",29.6321314040585
2015,"White River",29.6883144083936
2016,"Middle Delta",31.0043713604418
2016,"West of Crawleys Ridge",30.9845102964066
2016,"Grand Prairie",30.7433645114489
2016,"North Delta",31.0017589798877
2016,"South Delta",30.982370324473
2016,"White River",30.9015898582294
2017,"Middle Delta",30.8110058934535
2017,"West of Crawleys Ridge",30.5956036455393
2017,"Grand Prairie",30.635272097702
2017,"North Delta",30.6384744586507
2017,"South Delta",31.0510788267967
2017,"White River",30.4729859972091
2018,"Middle Delta",28.9586462430083
2018,"West of Crawleys Ridge",29.4374011078477
2018,"Grand Prairie",29.3142762759418
2018,"North Delta",29.445970282405
2018,"South Delta",29.7529150311873
2018,"White River",29.3836056432912
2019,"Middle Delta",29.7325229382112
2019,"West of Crawleys Ridge",30.1888942149023
2019,"Grand Prairie",29.7154919377435
2019,"North Delta",30.0903414626756
2019,"South Delta",29.7045049081289
2019,"White River",30.0340754414493
2020,"Middle Delta",29.5118808857758
2020,"West of Crawleys Ridge",29.5211019968459
2020,"Grand Prairie",29.6972676660762
2020,"North Delta",29.2615119574366
2020,"South Delta",29.7721306776784
2020,"White River",29.4333571801145
